DATE,UNRATE,FEDFUNDS,GS10
2010-03-01,9.9,0.16,3.73
2010-04-01,9.9,0.20,3.85
2010-05-01,9.6,0.20,3.42
2010-06-01,9.4,0.18,3.20
2010-07-01,9.4,0.18,3.01
2010-08-01,9.5,0.19,2.70
2010-09-01,9.5,0.19,2.65
2010-10-01,9.4,0.19,2.54
2010-11-01,9.8,0.19,2.76
2010-12-01,9.3,0.18,3.29
2011-01-01,9.1,0.17,3.39
2011-02-01,9.0,0.16,3.58
2011-03-01,9.0,0.14,3.41
2011-04-01,9.1,0.10,3.46
2011-05-01,9.0,0.09,3.17
2011-06-01,9.1,0.09,3.00
2011-07-01,9.0,0.07,3.00
2011-08-01,9.0,0.10,2.30
2011-09-01,9.0,0.08,1.98
2011-10-01,8.8,0.07,2.15
2011-11-01,8.6,0.08,2.01
2011-12-01,8.5,0.07,1.98
2012-01-01,8.3,0.08,1.97
2012-02-01,8.3,0.10,1.97
2012-03-01,8.2,0.13,2.17
2012-04-01,8.2,0.14,2.05
2012-05-01,8.2,0.16,1.80
2012-06-01,8.2,0.16,1.62
2012-07-01,8.2,0.16,1.53
2012-08-01,8.1,0.13,1.68
2012-09-01,7.8,0.14,1.72
2012-10-01,7.8,0.16,1.75
2012-11-01,7.7,0.16,1.65
2012-12-01,7.9,0.16,1.72
2013-01-01,8.0,0.14,1.91
2013-02-01,7.7,0.15,1.98
2013-03-01,7.5,0.14,1.96
2013-04-01,7.6,0.15,1.76
2013-05-01,7.5,0.11,1.93
2013-06-01,7.5,0.09,2.30
2013-07-01,7.3,0.09,2.58
2013-08-01,7.2,0.08,2.74
2013-09-01,7.2,0.08,2.81
2013-10-01,7.2,0.09,2.62
2013-11-01,6.9,0.08,2.72
2013-12-01,6.7,0.09,2.90
2014-01-01,6.6,0.07,2.86
2014-02-01,6.7,0.07,2.71
2014-03-01,6.7,0.08,2.72
2014-04-01,6.2,0.09,2.71
2014-05-01,6.3,0.09,2.56
2014-06-01,6.1,0.10,2.60
2014-07-01,6.2,0.09,2.54
2014-08-01,6.1,0.09,2.42
2014-09-01,5.9,0.09,2.53
2014-10-01,5.7,0.09,2.30
2014-11-01,5.8,0.09,2.33
2014-12-01,5.6,0.12,2.21
2015-01-01,5.7,0.11,1.88
2015-02-01,5.5,0.11,1.98
2015-03-01,5.4,0.11,2.04
2015-04-01,5.4,0.12,1.94
2015-05-01,5.6,0.12,2.20
2015-06-01,5.3,0.13,2.36
2015-07-01,5.2,0.13,2.32
2015-08-01,5.1,0.14,2.17
2015-09-01,5.0,0.14,2.17
2015-10-01,5.0,0.12,2.07
2015-11-01,5.1,0.12,2.26
2015-12-01,5.0,0.24,2.24
2016-01-01,4.8,0.34,2.09
2016-02-01,4.9,0.38,1.78
2016-03-01,5.0,0.36,1.89
2016-04-01,5.1,0.37,1.81
2016-05-01,4.8,0.37,1.81
2016-06-01,4.9,0.38,1.64
2016-07-01,4.8,0.39,1.50
2016-08-01,4.9,0.40,1.56
2016-09-01,5.0,0.40,1.63
2016-10-01,4.9,0.40,1.76
2016-11-01,4.7,0.41,2.14
2016-12-01,4.7,0.54,2.49
2017-01-01,4.7,0.65,2.43
2017-02-01,4.6,0.66,2.42
2017-03-01,4.4,0.79,2.48
2017-04-01,4.4,0.90,2.30
2017-05-01,4.4,0.91,2.30
2017-06-01,4.3,1.04,2.19
2017-07-01,4.3,1.15,2.32
2017-08-01,4.4,1.16,2.21
2017-09-01,4.3,1.15,2.20
2017-10-01,4.2,1.15,2.36
2017-11-01,4.2,1.16,2.35
2017-12-01,4.1,1.30,2.40
2018-01-01,4.0,1.41,2.58
2018-02-01,4.1,1.42,2.86
2018-03-01,4.0,1.51,2.84
2018-04-01,4.0,1.69,2.87
2018-05-01,3.8,1.70,2.98
2018-06-01,4.0,1.82,2.91
2018-07-01,3.8,1.91,2.89
2018-08-01,3.8,1.91,2.89
2018-09-01,3.7,1.95,3.00
2018-10-01,3.8,2.19,3.15
2018-11-01,3.8,2.20,3.12
2018-12-01,3.9,2.27,2.83
2019-01-01,4.0,2.40,2.71
2019-02-01,3.8,2.40,2.68
2019-03-01,3.8,2.41,2.57
2019-04-01,3.6,2.42,2.53
2019-05-01,3.6,2.39,2.40
2019-06-01,3.6,2.38,2.07
2019-07-01,3.7,2.40,2.06
2019-08-01,3.7,2.13,1.63
2019-09-01,3.5,2.04,1.70
2019-10-01,3.6,1.83,1.71
2019-11-01,3.6,1.55,1.81
2019-12-01,3.6,1.55,1.86
2020-01-01,3.5,1.55,1.76
2020-02-01,3.5,1.58,1.50
2020-03-01,4.4,0.65,0.87
2020-04-01,14.7,0.05,0.66
2020-05-01,13.2,0.05,0.67
2020-06-01,11.0,0.08,0.73
2020-07-01,10.2,0.09,0.62
2020-08-01,8.4,0.10,0.65
2020-09-01,7.9,0.09,0.68
2020-10-01,6.9,0.09,0.79
2020-11-01,6.7,0.09,0.87
2020-12-01,6.7,0.09,0.93
2021-01-01,6.4,0.09,1.08
2021-02-01,6.2,0.08,1.26
2021-03-01,6.0,0.07,1.61
2021-04-01,6.0,0.07,1.64
2021-05-01,5.8,0.06,1.62
2021-06-01,5.9,0.08,1.52
2021-07-01,5.4,0.10,1.32
2021-08-01,5.2,0.09,1.28
2021-09-01,4.7,0.08,1.37
2021-10-01,4.6,0.08,1.58
2021-11-01,4.2,0.08,1.56
2021-12-01,3.9,0.08,1.47
2022-01-01,4.0,0.08,1.76
