DATE,GDP_PCH,CORESTICKM159SFRBATL_PCH
1996-07-01,1.22706,1.34546
1996-10-01,1.57861,-2.78684
1997-01-01,1.24560,-4.53320
1997-04-01,1.86747,0.47434
1997-07-01,1.69035,-7.60452
1997-10-01,1.18996,-1.95833
1998-01-01,1.14732,3.01331
1998-04-01,1.16415,-2.34181
1998-07-01,1.68788,-0.27845
1998-10-01,1.89554,-4.30640
1999-01-01,1.26631,-7.45730
1999-04-01,1.21687,-6.91576
1999-07-01,1.68394,-2.53847
1999-10-01,2.20451,1.47218
2000-01-01,1.03039,13.04773
2000-04-01,2.45488,6.48061
2000-07-01,0.68742,10.42902
2000-10-01,1.13953,3.26723
2001-01-01,0.33047,0.61014
2001-04-01,1.22986,6.17781
2001-07-01,-0.00925,5.15773
2001-10-01,0.58921,8.09177
2002-01-01,1.15412,-0.87819
2002-04-01,0.96407,-3.73443
2002-07-01,0.88708,-7.09997
2002-10-01,0.70460,-9.34267
2003-01-01,1.01882,-5.40280
2003-04-01,1.24070,-12.81724
2003-07-01,2.24439,-6.95344
2003-10-01,1.77722,-6.27100
2004-01-01,1.28449,-0.45350
2004-04-01,1.58820,11.86466
2004-07-01,1.58916,-1.64842
2004-10-01,1.80334,1.33893
2005-01-01,1.91640,-0.05882
2005-04-01,1.21694,-0.74844
2005-07-01,1.70233,1.50843
2005-10-01,1.38147,4.73132
2006-01-01,2.06358,4.22767
2006-04-01,1.13436,12.84723
2006-07-01,0.84898,12.14300
2006-10-01,1.22112,0.34014
2007-01-01,1.25425,-1.53971
2007-04-01,1.31145,-10.99889
2007-07-01,1.12508,-10.66203
2007-10-01,1.03639,5.14707
2008-01-01,-0.05790,2.28575
2008-04-01,1.08226,5.01934
2008-07-01,0.22399,8.50099
2008-10-01,-1.95175,-9.03881
2009-01-01,-1.21375,-9.35484
2009-04-01,-0.34416,-10.71277
2009-07-01,0.47038,-21.40550
2009-10-01,1.40057,-20.56159
2010-01-01,0.77374,-24.98399
2010-04-01,1.46013,-22.21950
2010-07-01,1.07750,-14.13794
2010-10-01,1.10864,10.67448
2011-01-01,0.27416,39.84189
2011-04-01,1.34249,15.47324
2011-07-01,0.57944,27.31514
2011-10-01,1.24355,19.18940
2012-01-01,1.43008,9.23128
2012-04-01,0.86071,5.83725
2012-07-01,0.69358,0.44127
2012-10-01,0.61795,-2.11419
2013-01-01,1.27076,-3.04894
2013-04-01,0.42396,-9.41318
2013-07-01,1.26660,-0.82743
2013-10-01,1.31302,-0.69648
2014-01-01,0.06518,-3.57100
2014-04-01,1.85731,15.92235
2014-07-01,1.60642,-4.43684
2014-10-01,0.61608,-0.59578
2015-01-01,0.77753,-0.24615
2015-04-01,1.12476,4.65839
2015-07-01,0.62248,5.70681
2015-10-01,0.13721,8.99909
2016-01-01,0.50855,4.83173
2016-04-01,1.01117,1.79305
2016-07-01,0.88032,3.29127
2016-10-01,1.02571,-3.78900
2017-01-01,0.97992,1.78321
2017-04-01,0.88237,-15.38737
2017-07-01,1.22017,-3.07147
2017-10-01,1.65794,0.58371
2018-01-01,1.31143,3.35376
2018-04-01,1.73144,15.42374
2018-07-01,0.81303,-2.60055
2018-10-01,0.74651,-1.50577
2019-01-01,0.90455,-3.39409
2019-04-01,1.36979,3.35685
2019-07-01,1.01339,5.28732
2019-10-01,0.88094,6.81139
2020-01-01,-0.98224,-0.54099
2020-04-01,-9.32866,-22.55211
2020-07-01,8.52848,5.32250
2020-10-01,1.60381,-20.74293
2021-01-01,2.61030,-11.82812
2021-04-01,3.18870,60.53958
2021-07-01,1.96158,-1.44696
2021-10-01,.,.
